Neural Network created with 3 hidden neurons.
x: 0.481091628540816, y: 0.130579670680709, response: -1.95429553681314
x: -0.337362588074693, y: -0.801716400356213, response: -1.30273061442828
x: -0.112148018140415, y: 0.00993038169751781, response: -1.68747318748998
x: -0.588636542478873, y: -0.491878512405891, response: -0.889690027297887
x: 0.202939953283845, y: 0.959548257767204, response: -2.05514478865804
x: -0.823201109572873, y: 0.199438363695607, response: -0.576349323686255
x: -0.110596189792546, y: 0.0175978650688947, response: -1.68996793809877
x: 0.110193263324999, y: 0.889994313670531, response: -1.98506806015255
x: 0.742375001191336, y: -0.523908062895664, response: -1.33550340895714
x: -0.0963061354571516, y: 0.0883241408374351, response: -1.71275334863165
x: 0.0603525270988943, y: 0.76319158060878, response: -1.93173359912145
x: -0.84165242306965, y: 0.23430375679698, response: -0.555299983972749
x: 0.0480350167714223, y: 0.723285809017995, response: -1.91711199958053
x: -0.734781091909288, y: -0.0224228386951914, response: -0.684628723511315
x: -0.596256742065892, y: -0.467924124033569, response: -0.878239505067127
x: -0.596914619019681, y: -0.465839691827255, response: -0.877254637931979
x: -0.847163386571763, y: 0.243867821212988, response: -0.54911661650552
x: -0.9453166322528, y: 0.347408235766447, response: -0.44689607645611
x: -0.597765750995728, y: -0.46313930829067, response: -0.875981336031887
x: 0.368463054936595, y: 0.581220179993486, response: -2.05946782321761
x: 0.906269806393548, y: -0.406860577043722, response: -0.711975992635221
x: -0.591892002891699, y: -0.481688920754124, response: -0.884788584367914
x: 0.498114451532305, y: 0.0625291405250552, response: -1.9300052540135
x: -0.451711725188285, y: -0.809855326338719, response: -1.10759638132814
x: -0.14186117106204, y: -0.135316299939554, response: -1.63900965278462
x: -0.792692530803705, y: 0.132536286875735, response: -0.612326409673992
x: 0.863970169734196, y: -0.466537298045809, response: -0.886204890853864
x: 0.737309924204512, y: -0.521554473671183, response: -1.35226930232254
x: -0.0102772959555859, y: 0.496315480263673, response: -1.84116943221486
x: -0.555409353019395, y: -0.591177930604557, response: -0.940518135624371
x: -0.785217855956972, y: 0.114478216839202, response: -0.621363763145581
x: -0.779266015523703, y: 0.0996550409221638, response: -0.628622573513544
x: -0.196049079855927, y: -0.383093098638366, response: -1.54786839762187
x: 0.340108696995354, y: 0.680983156265574, response: -2.07136026829453
x: 0.0248500420827651, y: 0.640025828167254, response: -1.88818732854835
x: -0.220029446864514, y: -0.481108293681832, response: -1.50671836866413
x: 0.427304793813873, y: 0.350531448650815, response: -2.01637484142351
x: 0.536476643540187, y: -0.0835061477237587, response: -1.8669690143384
x: -0.944572579089819, y: 0.347089363147497, response: -0.447615273389805
x: 0.998508343472382, y: -0.243255906201842, response: -0.310109298034897
x: -0.551280967682265, y: -0.602798932683977, response: -0.946932726501301
x: 0.149588804296026, y: 0.946972626942296, response: -2.01986225641904
x: 0.543692100580638, y: -0.109475715865178, response: -1.85382383041977
x: 0.92132820278468, y: -0.382464654906488, response: -0.648190756023641
x: -0.737991217401806, y: -0.0130112377348122, response: -0.680484129486115
x: -0.62605646235219, y: -0.37151170105135, response: -0.834228445403543
x: 0.0529702068553168, y: 0.739652587496912, response: -1.92303456390769
x: 0.860876403684205, y: -0.470284564790624, response: -0.898633646340508
x: 0.878275606724562, y: -0.448030344468764, response: -0.828155572808499
x: -0.893393248269983, y: 0.308351147550695, response: -0.499114619623786
x: -0.431869637887864, y: -0.829718309501231, response: -1.14080726673109
x: -0.311047439142618, y: -0.756149054373597, response: -1.34851093747261
x: -0.925713868777134, y: 0.336713480523315, response: -0.466124967094692
x: 0.836190955637112, y: -0.496590168938071, response: -0.996118889164047
x: 0.963679588382915, y: -0.307992007762019, response: -0.464677022427893
x: 0.0729836314325145, y: 0.800746501857887, response: -1.94615898015231
x: 0.164522960393002, y: 0.95802274010348, response: -2.03117573901841
x: -0.66043629295213, y: -0.257825507619671, response: -0.785021312156936
x: 0.553224628583167, y: -0.142914961543515, response: -1.83583113460815
x: -0.00436751591245066, y: 0.521789298894913, response: -1.84933060414916
x: -0.687171279307069, y: -0.17026339153327, response: -0.747956511269216
x: 0.152093886002942, y: 0.949235275253555, response: -2.02183472628519
x: -0.879529440719415, y: 0.291983611347817, response: -0.51376013887131
x: 0.297784354210731, y: 0.807924183706922, response: -2.0789187056992
x: -0.311088279500179, y: -0.756232394853984, response: -1.3484397856478
x: -0.160381457377403, y: -0.223242311638006, response: -1.60820824767293
x: 0.354396656786276, y: 0.631956907160806, response: -2.06606954323344
x: 0.707926319776069, y: -0.499339377715005, response: -1.44610353134887
x: 0.240368866007947, y: 0.924698444920391, response: -2.07086344022588
x: 0.623772704798622, y: -0.353093019131858, response: -1.68062617176168
x: -0.0242194128335544, y: 0.43443980791049, response: -1.82154081684622
x: -0.38364003011195, y: -0.841691166094657, response: -1.22279872195372
x: 0.999255946837019, y: -0.24185565605738, response: -0.306763146715724
x: -0.59627409446811, y: -0.467869176085963, response: -0.87821352028271
x: -0.08025597738114, y: 0.167622594486811, response: -1.73791407933527
x: -0.243318997902479, y: -0.567239497677759, response: -1.4664403413365
x: -0.135584103472337, y: -0.104971873302619, response: -1.64935177323022
x: 0.576786248747625, y: -0.220865908971025, response: -1.78830356962492
x: -0.713720507786479, y: -0.086097816882609, response: -0.712214502185337
x: -0.515804708709849, y: -0.694235653942875, response: -1.00291358950681
x: 0.154337262340978, y: 0.951121755700666, response: -2.02357579172303
x: -0.996906233950009, y: 0.353773513422328, response: -0.399056004390746
x: 0.859034317479951, y: -0.472470552394351, response: -0.906012251491113
x: -0.116884047685603, y: -0.0134386333044098, response: -1.67983585372483
