r	numeric	exact
0.001	0.000999	0.000999
0.0012939	0.0012922	0.0012922
0.0015811	0.0015786	0.0015786
0.0018821	0.0018785	0.0018785
0.0022028	0.0021979	0.0021979
0.002545	0.0025386	0.0025386
0.0029091	0.0029006	0.0029006
0.0032948	0.0032839	0.0032839
0.0037018	0.0036881	0.0036881
0.0041297	0.0041127	0.0041127
0.0045783	0.0045574	0.0045574
0.0050471	0.0050217	0.0050217
0.0055358	0.0055053	0.0055053
0.0060442	0.0060078	0.0060078
0.0065719	0.0065288	0.0065288
0.0071187	0.0070682	0.0070682
0.0076843	0.0076254	0.0076254
0.0082684	0.0082003	0.0082004
0.008871	0.0087926	0.0087926
0.0094917	0.009402	0.009402
0.01013	0.010028	0.010028
0.010787	0.010671	0.010671
0.011461	0.01133	0.01133
0.012152	0.012005	0.012005
0.012861	0.012696	0.012696
0.013586	0.013403	0.013403
0.014329	0.014125	0.014125
0.015089	0.014863	0.014863
0.015865	0.015615	0.015615
0.016657	0.016382	0.016382
0.017466	0.017164	0.017164
0.018292	0.01796	0.01796
0.019133	0.018771	0.018771
0.019991	0.019595	0.019595
0.020865	0.020434	0.020434
0.021754	0.021286	0.021286
0.022659	0.022152	0.022152
0.02358	0.023031	0.023031
0.024517	0.023923	0.023923
0.025469	0.024829	0.024829
0.026437	0.025747	0.025747
0.02742	0.026678	0.026678
0.028418	0.027622	0.027622
0.029431	0.028578	0.028578
0.03046	0.029546	0.029546
0.031504	0.030527	0.030527
0.032562	0.031519	0.031519
0.033636	0.032524	0.032524
0.034725	0.03354	0.03354
0.035828	0.034567	0.034567
0.036947	0.035606	0.035606
0.03808	0.036657	0.036657
0.039228	0.037718	0.037719
0.04039	0.038791	0.038791
0.041567	0.039875	0.039875
0.042759	0.040969	0.040969
0.043965	0.042074	0.042074
0.045186	0.043189	0.04319
0.046421	0.044315	0.044315
0.047671	0.045452	0.045452
0.048935	0.046598	0.046598
0.050213	0.047754	0.047754
0.051506	0.04892	0.048921
0.052813	0.050096	0.050097
